11	11	2	2	111	44	0000
11	11	2	2	111	33	0000
11	11	2	2	111	22	0000
11	11	2	2	33	44	0000
11	11	2	2	33	33	0000
11	11	2	2	33	22	0000
11	11	2	2	333	44	0000
11	11	2	2	333	33	0000
11	11	2	2	333	22	0000
11	11	2	4	111	44	0000
11	11	2	4	111	33	0000
11	11	2	4	111	22	0000
11	11	2	4	33	44	0000
11	11	2	4	33	33	0000
11	11	2	4	33	22	0000
11	11	2	4	333	44	0000
11	11	2	4	333	33	0000
11	11	2	4	333	22	0000
11	11	2	5	111	44	0000
11	11	2	5	111	33	0000
11	11	2	5	111	22	0000
11	11	2	5	33	44	0000
11	11	2	5	33	33	0000
11	11	2	5	33	22	0000
11	11	2	5	333	44	0000
11	11	2	5	333	33	0000
11	11	2	5	333	22	0000
11	11	3	2	111	44	0000
11	11	3	2	111	33	0000
11	11	3	2	111	22	0000
11	11	3	2	33	44	0000
11	11	3	2	33	33	0000
11	11	3	2	33	22	0000
11	11	3	2	333	44	0000
11	11	3	2	333	33	0000
11	11	3	2	333	22	0000
11	11	3	4	111	44	0000
11	11	3	4	111	33	0000
11	11	3	4	111	22	0000
11	11	3	4	33	44	0000
11	11	3	4	33	33	0000
11	11	3	4	33	22	0000
11	11	3	4	333	44	0000
11	11	3	4	333	33	0000
11	11	3	4	333	22	0000
11	11	3	5	111	44	0000
11	11	3	5	111	33	0000
11	11	3	5	111	22	0000
11	11	3	5	33	44	0000
11	11	3	5	33	33	0000
11	11	3	5	33	22	0000
11	11	3	5	333	44	0000
11	11	3	5	333	33	0000
11	11	3	5	333	22	0000
11	11	4	2	111	44	0000
11	11	4	2	111	33	0000
11	11	4	2	111	22	0000
11	11	4	2	33	44	0000
11	11	4	2	33	33	0000
11	11	4	2	33	22	0000
11	11	4	2	333	44	0000
11	11	4	2	333	33	0000
11	11	4	2	333	22	0000
11	11	4	4	111	44	0000
11	11	4	4	111	33	0000
11	11	4	4	111	22	0000
11	11	4	4	33	44	0000
11	11	4	4	33	33	0000
11	11	4	4	33	22	0000
11	11	4	4	333	44	0000
11	11	4	4	333	33	0000
11	11	4	4	333	22	0000
11	11	4	5	111	44	0000
11	11	4	5	111	33	0000
11	11	4	5	111	22	0000
11	11	4	5	33	44	0000
11	11	4	5	33	33	0000
11	11	4	5	33	22	0000
11	11	4	5	333	44	0000
11	11	4	5	333	33	0000
11	11	4	5	333	22	0000
11	11	567	2	111	44	0000
11	11	567	2	111	33	0000
11	11	567	2	111	22	0000
11	11	567	2	33	44	0000
11	11	567	2	33	33	0000
11	11	567	2	33	22	0000
11	11	567	2	333	44	0000
11	11	567	2	333	33	0000
11	11	567	2	333	22	0000
11	11	567	4	111	44	0000
11	11	567	4	111	33	0000
11	11	567	4	111	22	0000
11	11	567	4	33	44	0000
11	11	567	4	33	33	0000
11	11	567	4	33	22	0000
11	11	567	4	333	44	0000
11	11	567	4	333	33	0000
11	11	567	4	333	22	0000
11	11	567	5	111	44	0000
11	11	567	5	111	33	0000
11	11	567	5	111	22	0000
11	11	567	5	33	44	0000
11	11	567	5	33	33	0000
11	11	567	5	33	22	0000
11	11	567	5	333	44	0000
11	11	567	5	333	33	0000
11	11	567	5	333	22	0000
11	22	2	2	111	44	0000
11	22	2	2	111	33	0000
11	22	2	2	111	22	0000
11	22	2	2	33	44	0000
